회사명,종목코드,업종,상장일,시장구분,yf_ticker
드림어스컴퍼니,060570,영상·오디오물 제공 서비스업,2003-12-19,코스닥,060570.KQ
디알텍,214680,의료용 기기 제조업,2015-04-20,코스닥,214680.KQ
디지캡,197140,소프트웨어 개발 및 공급업,2018-09-07,코스닥,197140.KQ
라온테크,232680,특수 목적용 기계 제조업,2021-06-17,코스닥,232680.KQ
라온텍,418420,전자부품 제조업,2023-03-09,코스닥,418420.KQ
라이콤,388790,통신 및 방송 장비 제조업,2021-09-03,코스닥,388790.KQ
램테크놀러지,171010,기초 화학물질 제조업,2013-11-18,코스닥,171010.KQ
러셀,217500,특수 목적용 기계 제조업,2015-06-16,코스닥,217500.KQ
레이저쎌,412350,특수 목적용 기계 제조업,2022-06-24,코스닥,412350.KQ
로보스타,090360,특수 목적용 기계 제조업,2011-10-17,코스닥,090360.KQ
로체시스템즈,071280,특수 목적용 기계 제조업,2003-11-14,코스닥,071280.KQ
리더스코스메틱,016100,"골판지, 종이 상자 및 종이용기 제조업",2003-01-15,코스닥,016100.KQ
메타바이오메드,059210,의료용품 및 기타 의약 관련제품 제조업,2008-04-15,코스닥,059210.KQ
모베이스,101330,통신 및 방송 장비 제조업,2010-02-04,코스닥,101330.KQ
모헨즈,006920,"시멘트, 석회, 플라스터 및 그 제품 제조업",1989-01-05,코스닥,006920.KQ
미래반도체,254490,기타 전문 도매업,2023-01-27,코스닥,254490.KQ
바이오다인,314930,의료용 기기 제조업,2021-03-17,코스닥,314930.KQ
바이젠셀,308080,자연과학 및 공학 연구개발업,2021-08-25,코스닥,308080.KQ
바텍,043150,의료용 기기 제조업,2006-09-29,코스닥,043150.KQ
벨로크,424760,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2022-07-22,코스닥,424760.KQ
본느,226340,기타 화학제품 제조업,2015-11-05,코스닥,226340.KQ
부방,014470,부동산 임대 및 공급업,1994-02-25,코스닥,014470.KQ
뷰노,338220,소프트웨어 개발 및 공급업,2021-02-26,코스닥,338220.KQ
브이씨,365900,운동 및 경기용구 제조업,2022-02-24,코스닥,365900.KQ
비보존 제약,082800,의약품 제조업,2005-11-18,코스닥,082800.KQ
비피도,238200,기타 식품 제조업,2018-12-26,코스닥,238200.KQ
삼보모터스,053700,자동차 신품 부품 제조업,2001-11-06,코스닥,053700.KQ
삼성스팩8호,448740,금융 지원 서비스업,2023-03-02,코스닥,448740.KQ
