회사명,종목코드,업종,상장일,시장구분,yf_ticker
에쎈테크,043340,일반 목적용 기계 제조업,2000-08-29,코스닥,043340.KQ
에이비프로바이오,195990,특수 목적용 기계 제조업,2015-04-13,코스닥,195990.KQ
에이스침대,003800,가구 제조업,1996-05-03,코스닥,003800.KQ
에이스테크,088800,통신 및 방송 장비 제조업,2006-03-27,코스닥,088800.KQ
에이에프더블류,312610,일차전지 및 이차전지 제조업,2019-07-01,코스닥,312610.KQ
에이엘티,172670,반도체 제조업,2023-07-27,코스닥,172670.KQ
에이치엔에스하이텍,044990,전자부품 제조업,2024-10-25,코스닥,044990.KQ
에이치이엠파마,376270,자연과학 및 공학 연구개발업,2024-11-05,코스닥,376270.KQ
에코캡,128540,자동차 신품 부품 제조업,2018-12-05,코스닥,128540.KQ
엑셀세라퓨틱스,373110,기초 의약물질 제조업,2024-07-15,코스닥,373110.KQ
엔에이치스팩24호,437780,금융 지원 서비스업,2022-10-20,코스닥,437780.KQ
엔젠바이오,354200,"그외 기타 전문, 과학 및 기술 서비스업",2020-12-10,코스닥,354200.KQ
엔젯,419080,특수 목적용 기계 제조업,2022-11-18,코스닥,419080.KQ
엔케이맥스,182400,기초 의약물질 제조업,2015-10-23,코스닥,182400.KQ
엠아이텍,179290,의료용 기기 제조업,2018-11-29,코스닥,179290.KQ
영화테크,265560,자동차 신품 부품 제조업,2017-10-26,코스닥,265560.KQ
오리엔탈정공,014940,일반 목적용 기계 제조업,2001-12-26,코스닥,014940.KQ
오션인더블유,052300,상품 종합 도매업,2001-08-02,코스닥,052300.KQ
오픈놀,440320,소프트웨어 개발 및 공급업,2023-06-30,코스닥,440320.KQ
오픈엣지테크놀로지,394280,소프트웨어 개발 및 공급업,2022-09-26,코스닥,394280.KQ
와이솔,122990,전자부품 제조업,2010-09-10,코스닥,122990.KQ
와토스코리아,079000,플라스틱제품 제조업,2005-11-15,코스닥,079000.KQ
우듬지팜,403490,"과실, 채소 가공 및 저장 처리업",2023-09-19,코스닥,403490.KQ
우리손에프앤지,073560,"도축, 육류 가공 및 저장 처리업",2016-07-27,코스닥,073560.KQ
우리이앤엘,153490,반도체 제조업,2013-02-05,코스닥,153490.KQ
원티드랩,376980,소프트웨어 개발 및 공급업,2021-08-11,코스닥,376980.KQ
월덱스,101160,전자부품 제조업,2008-06-19,코스닥,101160.KQ
유니온바이오메트릭스,203450,통신 및 방송 장비 제조업,2016-12-07,코스닥,203450.KQ
유니테스트,086390,특수 목적용 기계 제조업,2006-12-05,코스닥,086390.KQ
유디엠텍,389680,소프트웨어 개발 및 공급업,2024-11-20,코스닥,389680.KQ
유성티엔에스,024800,육상 여객 운송업,1999-12-10,코스닥,024800.KQ
유안타제13호스팩,449020,금융 지원 서비스업,2023-02-28,코스닥,449020.KQ
육일씨엔에쓰,191410,전자부품 제조업,2015-12-24,코스닥,191410.KQ
이글벳,044960,기타 전문 도매업,2000-11-16,코스닥,044960.KQ
이닉스,452400,자동차 신품 부품 제조업,2024-02-01,코스닥,452400.KQ
이엘씨,041520,상품 중개업,2003-07-04,코스닥,041520.KQ
이엘피,063760,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2017-04-06,코스닥,063760.KQ
이엠텍,091120,전자부품 제조업,2007-05-02,코스닥,091120.KQ
인산가,277410,기타 식품 제조업,2017-09-29,코스닥,277410.KQ
인스피언,465480,소프트웨어 개발 및 공급업,2024-10-18,코스닥,465480.KQ
재영솔루텍,049630,사진장비 및 광학기기 제조업,2003-01-24,코스닥,049630.KQ
제넥신,095700,자연과학 및 공학 연구개발업,2009-09-15,코스닥,095700.KQ
제노코,361390,통신 및 방송 장비 제조업,2021-03-24,코스닥,361390.KQ
제로투세븐,159580,생활용품 도매업,2013-02-19,코스닥,159580.KQ
제이씨현시스템,033320,기계장비 및 관련 물품 도매업,1997-11-10,코스닥,033320.KQ
제이앤티씨,204270,전자부품 제조업,2020-03-04,코스닥,204270.KQ
제이에스티나,026040,귀금속 및 장신용품 제조업,1999-12-21,코스닥,026040.KQ
제이엘케이,322510,소프트웨어 개발 및 공급업,2019-12-11,코스닥,322510.KQ
제테마,216080,의료용품 및 기타 의약 관련제품 제조업,2019-11-14,코스닥,216080.KQ
지니너스,389030,자연과학 및 공학 연구개발업,2021-11-08,코스닥,389030.KQ
지더블유바이텍,036180,기계장비 및 관련 물품 도매업,1999-12-21,코스닥,036180.KQ
지씨셀,144510,"그외 기타 전문, 과학 및 기술 서비스업",2016-06-23,코스닥,144510.KQ
지아이텍,382480,특수 목적용 기계 제조업,2021-10-21,코스닥,382480.KQ
지오엘리먼트,311320,전자부품 제조업,2021-11-11,코스닥,311320.KQ
지투파워,388050,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2022-04-01,코스닥,388050.KQ
진로발효,018120,알코올음료 제조업,1993-12-29,코스닥,018120.KQ
진바이오텍,086060,산업용 농·축산물 및 동·식물 도매업,2006-04-28,코스닥,086060.KQ
진성티이씨,036890,특수 목적용 기계 제조업,2000-07-20,코스닥,036890.KQ
차백신연구소,261780,자연과학 및 공학 연구개발업,2021-10-22,코스닥,261780.KQ
캔버스엔,210120,"영화, 비디오물, 방송프로그램 제작 및 배급업",2023-08-17,코스닥,210120.KQ
케이사인,192250,소프트웨어 개발 및 공급업,2014-04-28,코스닥,192250.KQ
케이옥션,102370,상품 중개업,2022-01-24,코스닥,102370.KQ
케이피티유,054410,기타 금속 가공제품 제조업,2002-04-25,코스닥,054410.KQ
켐트로닉스,089010,기타 화학제품 제조업,2007-01-17,코스닥,089010.KQ
코데즈컴바인,047770,봉제의복 제조업,2001-09-18,코스닥,047770.KQ
코리아에프티,123410,자동차 신품 부품 제조업,2010-08-27,코스닥,123410.KQ
코스맥스엔비티,222040,기타 식품 제조업,2015-12-16,코스닥,222040.KQ
코스메카코리아,241710,기타 화학제품 제조업,2016-10-28,코스닥,241710.KQ
코어라인소프트,384470,소프트웨어 개발 및 공급업,2023-09-18,코스닥,384470.KQ
코엔텍,029960,"증기, 냉·온수 및 공기조절 공급업",2004-06-18,코스닥,029960.KQ
코웰패션,033290,"섬유, 의복, 신발 및 가죽제품 소매업",1997-10-13,코스닥,033290.KQ
코윈테크,282880,특수 목적용 기계 제조업,2019-08-05,코스닥,282880.KQ
코이즈,121850,플라스틱제품 제조업,2012-09-27,코스닥,121850.KQ
퀀타매트릭스,317690,의료용 기기 제조업,2020-12-09,코스닥,317690.KQ
큐라클,365270,자연과학 및 공학 연구개발업,2021-07-22,코스닥,365270.KQ
큐로홀딩스,051780,음·식료품 및 담배 소매업,2001-06-26,코스닥,051780.KQ
크레오에스지,040350,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2002-01-10,코스닥,040350.KQ
테크엘,064520,반도체 제조업,2002-12-04,코스닥,064520.KQ
톱텍,108230,특수 목적용 기계 제조업,2009-09-15,코스닥,108230.KQ
티에스아이,277880,특수 목적용 기계 제조업,2020-07-22,코스닥,277880.KQ
티에스이,131290,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2011-01-05,코스닥,131290.KQ
티엑스알로보틱스,484810,일반 목적용 기계 제조업,2025-03-20,코스닥,484810.KQ
티케이케미칼,104480,화학섬유 제조업,2011-04-26,코스닥,104480.KQ
티플랙스,081150,1차 비철금속 제조업,2009-04-23,코스닥,081150.KQ
파두,440110,반도체 제조업,2023-08-07,코스닥,440110.KQ
파로스아이바이오,388870,자연과학 및 공학 연구개발업,2023-07-27,코스닥,388870.KQ
파세코,037070,가정용 기기 제조업,2000-01-04,코스닥,037070.KQ
파워넷,037030,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2018-06-07,코스닥,037030.KQ
파인디지털,038950,통신 및 방송 장비 제조업,2000-05-04,코스닥,038950.KQ
파인텍,131760,특수 목적용 기계 제조업,2015-08-17,코스닥,131760.KQ
패션플랫폼,225590,봉제의복 제조업,2015-10-05,코스닥,225590.KQ
팬스타엔터프라이즈,054300,일반 목적용 기계 제조업,2002-01-10,코스닥,054300.KQ
펄어비스,263750,소프트웨어 개발 및 공급업,2017-09-14,코스닥,263750.KQ
포스뱅크,105760,일반 목적용 기계 제조업,2024-01-29,코스닥,105760.KQ
포톤,208710,전자부품 제조업,2014-12-24,코스닥,208710.KQ
풍원정밀,371950,전자부품 제조업,2022-02-28,코스닥,371950.KQ
퓨쳐켐,220100,의약품 제조업,2016-12-01,코스닥,220100.KQ
플래스크,041590,실내건축 및 건축마무리 공사업,2002-11-01,코스닥,041590.KQ
피씨디렉트,051380,기계장비 및 관련 물품 도매업,2002-02-15,코스닥,051380.KQ
피앤씨테크,237750,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2016-07-04,코스닥,237750.KQ
피에스케이,319660,특수 목적용 기계 제조업,2019-05-10,코스닥,319660.KQ
피엔티엠에스,257370,특수 목적용 기계 제조업,2018-09-13,코스닥,257370.KQ
하나31호스팩,469900,금융 지원 서비스업,2024-03-05,코스닥,469900.KQ
하나32호스팩,475240,금융 지원 서비스업,2024-03-27,코스닥,475240.KQ
하나33호스팩,475250,금융 지원 서비스업,2024-04-24,코스닥,475250.KQ
하나기술,299030,특수 목적용 기계 제조업,2020-11-25,코스닥,299030.KQ
하나마이크론,067310,반도체 제조업,2005-10-11,코스닥,067310.KQ
한국경제TV,039340,텔레비전 방송업,2004-07-30,코스닥,039340.KQ
한국비티비,219750,의료용 기기 제조업,2018-09-21,코스닥,219750.KQ
한국알콜,017890,기타 화학제품 제조업,1992-08-04,코스닥,017890.KQ
한독크린텍,256150,일반 목적용 기계 제조업,2019-09-05,코스닥,256150.KQ
한빛레이저,452190,특수 목적용 기계 제조업,2024-01-04,코스닥,452190.KQ
한싹,430690,소프트웨어 개발 및 공급업,2023-10-04,코스닥,430690.KQ
한양이엔지,045100,"건축기술, 엔지니어링 및 관련 기술 서비스업",2000-08-31,코스닥,045100.KQ
한주라이트메탈,198940,1차 비철금속 제조업,2023-01-19,코스닥,198940.KQ
한주에이알티,058450,"영화, 비디오물, 방송프로그램 제작 및 배급업",2002-01-17,코스닥,058450.KQ
한켐,457370,기초 화학물질 제조업,2024-10-22,코스닥,457370.KQ
한텍,098070,일반 목적용 기계 제조업,2025-03-20,코스닥,098070.KQ
현대에버다임,041440,특수 목적용 기계 제조업,2003-11-14,코스닥,041440.KQ
협진,138360,특수 목적용 기계 제조업,2013-11-08,코스닥,138360.KQ
홈캐스트,064240,기타 전문 도매업,2003-06-11,코스닥,064240.KQ
화일약품,061250,의약품 제조업,2002-04-18,코스닥,061250.KQ
휴럼,353190,기타 식품 제조업,2020-06-17,코스닥,353190.KQ
휴온스글로벌,084110,의약품 제조업,2006-12-19,코스닥,084110.KQ
휴젤,145020,기초 의약물질 제조업,2015-12-24,코스닥,145020.KQ
APS,054620,기타 금융업,2001-12-04,코스닥,054620.KQ
CS,065770,통신 및 방송 장비 제조업,2004-06-04,코스닥,065770.KQ
CSA 코스믹,083660,기타 화학제품 제조업,2006-07-25,코스닥,083660.KQ
DGI,099520,영상 및 음향기기 제조업,2009-12-22,코스닥,099520.KQ
EDGC,245620,자연과학 및 공학 연구개발업,2018-06-26,코스닥,245620.KQ
HB테크놀러지,078150,특수 목적용 기계 제조업,2004-12-08,코스닥,078150.KQ
HLB펩,196300,기초 의약물질 제조업,2016-12-07,코스닥,196300.KQ
KG모빌리언스,046440,소프트웨어 개발 및 공급업,2004-12-14,코스닥,046440.KQ
KG에코솔루션,151860,자동차 차체나 트레일러 제조업,2013-07-24,코스닥,151860.KQ
KH바텍,060720,전자부품 제조업,2002-05-21,코스닥,060720.KQ
KS인더스트리,101000,특수 목적용 기계 제조업,2009-11-06,코스닥,101000.KQ
KX하이텍,052900,플라스틱제품 제조업,2005-01-18,코스닥,052900.KQ
KZ정밀,036560,일반 목적용 기계 제조업,1999-12-28,코스닥,036560.KQ
LK삼양,225190,사진장비 및 광학기기 제조업,2017-06-02,코스닥,225190.KQ
PS일렉트로닉스,332570,전자부품 제조업,2020-07-31,코스닥,332570.KQ
SBI핀테크솔루션즈,950110,소프트웨어 개발 및 공급업,2012-12-17,코스닥,950110.KQ
SFA반도체,036540,반도체 제조업,2001-05-02,코스닥,036540.KQ
SM C&C,048550,광고업,2001-01-18,코스닥,048550.KQ
TS트릴리온,317240,기타 화학제품 제조업,2019-04-29,코스닥,317240.KQ
광무,029480,통신 및 방송 장비 제조업,1996-08-27,코스닥,029480.KQ
나라셀라,405920,음·식료품 및 담배 도매업,2023-06-02,코스닥,405920.KQ
남화토건,091590,건물 건설업,2012-01-31,코스닥,091590.KQ
네오셈,253590,특수 목적용 기계 제조업,2018-04-04,코스닥,253590.KQ
네오오토,212560,자동차 신품 부품 제조업,2015-11-18,코스닥,212560.KQ
네이블,153460,소프트웨어 개발 및 공급업,2012-07-19,코스닥,153460.KQ
노블엠앤비,106520,사진장비 및 광학기기 제조업,2012-07-13,코스닥,106520.KQ
녹십자웰빙,234690,의약품 제조업,2019-10-14,코스닥,234690.KQ
누리플랜,069140,"구조용 금속제품, 탱크 및 증기발생기 제조업",2010-10-26,코스닥,069140.KQ
누리플렉스,040160,소프트웨어 개발 및 공급업,2000-08-29,코스닥,040160.KQ
다산네트웍스,039560,통신 및 방송 장비 제조업,2000-06-22,코스닥,039560.KQ
대동기어,008830,특수 목적용 기계 제조업,1991-05-17,코스닥,008830.KQ
대보마그네틱,290670,기타 전기장비 제조업,2018-11-06,코스닥,290670.KQ
대신밸런스제18호스팩,478780,금융 지원 서비스업,2024-08-22,코스닥,478780.KQ
대양전기공업,108380,선박 및 보트 건조업,2011-07-08,코스닥,108380.KQ
대진첨단소재,393970,플라스틱제품 제조업,2025-03-06,코스닥,393970.KQ
대창솔루션,096350,"구조용 금속제품, 탱크 및 증기발생기 제조업",2007-12-17,코스닥,096350.KQ
대한과학,131220,기계장비 및 관련 물품 도매업,2011-10-11,코스닥,131220.KQ
대한광통신,010170,절연선 및 케이블 제조업,1994-11-07,코스닥,010170.KQ
더블유씨피,393890,일차전지 및 이차전지 제조업,2022-09-30,코스닥,393890.KQ
더즌,462860,전기 통신업,2025-03-24,코스닥,462860.KQ
덕산테코피아,317330,기타 화학제품 제조업,2019-08-02,코스닥,317330.KQ
데이원컴퍼니,373160,기타 교육기관,2025-01-24,코스닥,373160.KQ
동신건설,025950,토목 건설업,1995-08-07,코스닥,025950.KQ
동양이엔피,079960,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2005-02-01,코스닥,079960.KQ
두산테스나,131970,"그외 기타 전문, 과학 및 기술 서비스업",2013-10-22,코스닥,131970.KQ
디비금융스팩12호,477760,기타 금융업,2024-06-18,코스닥,477760.KQ
디케이락,105740,일반 목적용 기계 제조업,2010-11-12,코스닥,105740.KQ
디티씨,066670,전자부품 제조업,2002-12-30,코스닥,066670.KQ
디티앤씨알오,383930,자연과학 및 공학 연구개발업,2022-11-11,코스닥,383930.KQ
랩지노믹스,084650,자연과학 및 공학 연구개발업,2014-12-16,코스닥,084650.KQ
로보티즈,108490,특수 목적용 기계 제조업,2018-10-26,코스닥,108490.KQ
리메드,302550,의료용 기기 제조업,2019-12-06,코스닥,302550.KQ
링크드,193250,전자부품 제조업,2014-12-29,코스닥,193250.KQ
마음AI,377480,소프트웨어 개발 및 공급업,2021-11-23,코스닥,377480.KQ
매커스,093520,기계장비 및 관련 물품 도매업,2007-02-12,코스닥,093520.KQ
메가터치,446540,일차전지 및 이차전지 제조업,2023-11-09,코스닥,446540.KQ
미래나노텍,095500,플라스틱제품 제조업,2007-10-01,코스닥,095500.KQ
미래에셋비전스팩6호,478440,금융 지원 서비스업,2024-06-24,코스닥,478440.KQ
바디텍메드,206640,의료용품 및 기타 의약 관련제품 제조업,2014-12-29,코스닥,206640.KQ
바이브컴퍼니,301300,소프트웨어 개발 및 공급업,2020-10-28,코스닥,301300.KQ
바이오에프디엔씨,251120,기초 의약물질 제조업,2022-02-21,코스닥,251120.KQ
바이오플러스,099430,기초 의약물질 제조업,2021-09-27,코스닥,099430.KQ
버넥트,438700,소프트웨어 개발 및 공급업,2023-07-26,코스닥,438700.KQ
베뉴지,019010,종합 소매업,1993-11-05,코스닥,019010.KQ
뷰티스킨,406820,기타 화학제품 제조업,2023-07-24,코스닥,406820.KQ
브레인즈컴퍼니,099390,소프트웨어 개발 및 공급업,2021-08-19,코스닥,099390.KQ
브이원텍,251630,특수 목적용 기계 제조업,2017-07-13,코스닥,251630.KQ
비덴트,121800,통신 및 방송 장비 제조업,2011-12-01,코스닥,121800.KQ
비엠티,086670,일반 목적용 기계 제조업,2007-11-02,코스닥,086670.KQ
비큐AI,148780,소프트웨어 개발 및 공급업,2022-06-20,코스닥,148780.KQ
빅솔론,093190,컴퓨터 및 주변장치 제조업,2007-08-20,코스닥,093190.KQ
빌리언스,044480,고무제품 제조업,2001-01-11,코스닥,044480.KQ
빛과전자,069540,통신 및 방송 장비 제조업,2004-02-13,코스닥,069540.KQ
빛샘전자,072950,전자부품 제조업,2012-03-21,코스닥,072950.KQ
삼보산업,009620,1차 비철금속 제조업,1993-12-07,코스닥,009620.KQ
삼성스팩7호,439250,금융 지원 서비스업,2022-10-26,코스닥,439250.KQ
삼아제약,009300,의약품 제조업,2000-07-19,코스닥,009300.KQ
삼천리자전거,024950,생활용품 도매업,1995-01-04,코스닥,024950.KQ
상상인제4호스팩,452670,금융 지원 서비스업,2023-09-14,코스닥,452670.KQ
상지건설,042940,건물 건설업,2000-10-19,코스닥,042940.KQ
새로닉스,042600,전자부품 제조업,2002-10-01,코스닥,042600.KQ
서남,294630,기타 전기장비 제조업,2020-02-20,코스닥,294630.KQ
서울반도체,046890,반도체 제조업,2002-01-17,코스닥,046890.KQ
선진뷰티사이언스,086710,기타 화학제품 제조업,2021-01-27,코스닥,086710.KQ
성우하이텍,015750,자동차 신품 부품 제조업,1995-11-04,코스닥,015750.KQ
성일하이텍,365340,기초 화학물질 제조업,2022-07-28,코스닥,365340.KQ
세명전기,017510,기타 금속 가공제품 제조업,1991-12-26,코스닥,017510.KQ
스마트레이더시스템,424960,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2023-08-22,코스닥,424960.KQ
스타플렉스,115570,플라스틱제품 제조업,2010-01-27,코스닥,115570.KQ
스튜디오미르,408900,"영화, 비디오물, 방송프로그램 제작 및 배급업",2023-02-07,코스닥,408900.KQ
시큐레터,418250,소프트웨어 개발 및 공급업,2023-08-24,코스닥,418250.KQ
신성델타테크,065350,가정용 기기 제조업,2004-08-06,코스닥,065350.KQ
신한제15호스팩,487830,금융 지원 서비스업,2024-11-15,코스닥,487830.KQ
신화콘텍,187270,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2014-08-08,코스닥,187270.KQ
실리콘투,257720,상품 종합 도매업,2021-09-29,코스닥,257720.KQ
싸이버원,356890,소프트웨어 개발 및 공급업,2021-03-11,코스닥,356890.KQ
쏘닉스,088280,반도체 제조업,2023-11-07,코스닥,088280.KQ
씨씨에스,066790,텔레비전 방송업,2003-05-30,코스닥,066790.KQ
씨어스테크놀로지,458870,의료용 기기 제조업,2024-06-19,코스닥,458870.KQ
씨엔플러스,115530,전자부품 제조업,2011-11-02,코스닥,115530.KQ
아시아종묘,154030,작물 재배업,2018-02-12,코스닥,154030.KQ
아우딘퓨쳐스,227610,기타 화학제품 제조업,2017-07-12,코스닥,227610.KQ
아이디스홀딩스,054800,기타 전문 서비스업,2001-09-27,코스닥,054800.KQ
아이엠,101390,전자부품 제조업,2008-07-23,코스닥,101390.KQ
아이티아이즈,372800,소프트웨어 개발 및 공급업,2021-11-11,코스닥,372800.KQ
안국약품,001540,의약품 제조업,2000-06-15,코스닥,001540.KQ
알비더블유,361570,오디오물 출판 및 원판 녹음업,2021-11-22,코스닥,361570.KQ
알티캐스트,085810,소프트웨어 개발 및 공급업,2013-12-06,코스닥,085810.KQ
에르코스,435570,도시락 및 식사용 조리식품 제조업,2025-02-28,코스닥,435570.KQ
에스오에스랩,464080,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2024-06-25,코스닥,464080.KQ
에스텍,069510,영상 및 음향기기 제조업,2003-11-14,코스닥,069510.KQ
에이비엘바이오,298380,기초 의약물질 제조업,2018-12-19,코스닥,298380.KQ
에이치케이,044780,특수 목적용 기계 제조업,2000-09-07,코스닥,044780.KQ
에이치피오,357230,기타 식품 제조업,2021-05-14,코스닥,357230.KQ
에이티넘인베스트,021080,신탁업 및 집합투자업,1991-07-12,코스닥,021080.KQ
에치에프알,230240,통신 및 방송 장비 제조업,2015-12-16,코스닥,230240.KQ
엑세스바이오,950130,의료용품 및 기타 의약 관련제품 제조업,2013-05-30,코스닥,950130.KQ
엑셈,205100,소프트웨어 개발 및 공급업,2014-11-07,코스닥,205100.KQ
엑스큐어,070300,소프트웨어 개발 및 공급업,2010-06-09,코스닥,070300.KQ
엑스페릭스,317770,전자부품 제조업,2019-08-01,코스닥,317770.KQ
엔바이오니아,317870,그외 기타 제품 제조업,2019-10-24,코스닥,317870.KQ
엔시스,333620,기타 전기장비 제조업,2021-04-01,코스닥,333620.KQ
엔에이치스팩25호,438580,금융 지원 서비스업,2022-11-03,코스닥,438580.KQ
엔에이치스팩27호,440820,금융 지원 서비스업,2022-12-16,코스닥,440820.KQ
엔지스테크널러지,208860,소프트웨어 개발 및 공급업,2016-07-28,코스닥,208860.KQ
엔지켐생명과학,183490,기초 의약물질 제조업,2018-02-21,코스닥,183490.KQ
엠게임,058630,소프트웨어 개발 및 공급업,2008-12-19,코스닥,058630.KQ
엠로,058970,소프트웨어 개발 및 공급업,2021-08-13,코스닥,058970.KQ
엠에스오토텍,123040,자동차 신품 부품 제조업,2010-08-06,코스닥,123040.KQ
영우디에스피,143540,특수 목적용 기계 제조업,2014-10-29,코스닥,143540.KQ
예림당,036000,"서적, 잡지 및 기타 인쇄물 출판업",1999-11-30,코스닥,036000.KQ
예스24,053280,무점포 소매업,2008-05-07,코스닥,053280.KQ
오가닉티코스메틱,900300,기타 금융업,2016-11-04,코스닥,900300.KQ
오늘이엔엠,192410,통신 및 방송 장비 제조업,2014-08-14,코스닥,192410.KQ
오로스테크놀로지,322310,특수 목적용 기계 제조업,2021-02-24,코스닥,322310.KQ
오리엔트정공,065500,자동차 신품 부품 제조업,2002-09-19,코스닥,065500.KQ
오상헬스케어,036220,의료용 기기 제조업,2024-03-13,코스닥,036220.KQ
오토앤,353590,자동차 부품 및 내장품 판매업,2022-01-20,코스닥,353590.KQ
온코크로스,382150,자연과학 및 공학 연구개발업,2024-12-18,코스닥,382150.KQ
와이씨,232140,특수 목적용 기계 제조업,2015-12-24,코스닥,232140.KQ
와이엠,007530,기타 금속 가공제품 제조업,1994-08-05,코스닥,007530.KQ
와이엠텍,273640,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2021-09-10,코스닥,273640.KQ
우수AMS,066590,자동차 신품 부품 제조업,2003-02-12,코스닥,066590.KQ
우진비앤지,018620,의약품 제조업,2008-05-20,코스닥,018620.KQ
워트,396470,특수 목적용 기계 제조업,2023-10-26,코스닥,396470.KQ
원익머트리얼즈,104830,기초 화학물질 제조업,2011-12-28,코스닥,104830.KQ
원풍물산,008290,봉제의복 제조업,1997-07-18,코스닥,008290.KQ
웨이브일렉트로,095270,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2007-09-12,코스닥,095270.KQ
웨이비스,289930,반도체 제조업,2024-10-25,코스닥,289930.KQ
위니아,071460,가정용 기기 제조업,2016-07-14,코스닥,071460.KQ
위드텍,348350,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2020-10-30,코스닥,348350.KQ
위메이드,112040,소프트웨어 개발 및 공급업,2009-12-18,코스닥,112040.KQ
윈스테크넷,136540,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2011-05-02,코스닥,136540.KQ
윙스풋,335870,"섬유, 의복, 신발 및 가죽제품 소매업",2019-12-09,코스닥,335870.KQ
유니셈,036200,특수 목적용 기계 제조업,1999-12-10,코스닥,036200.KQ
유니크,011320,자동차 신품 부품 제조업,1993-12-29,코스닥,011320.KQ
유니테크노,241690,자동차 신품 부품 제조업,2016-09-20,코스닥,241690.KQ
유라클,088340,소프트웨어 개발 및 공급업,2024-08-16,코스닥,088340.KQ
유라테크,048430,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2001-01-11,코스닥,048430.KQ
유비벨록스,089850,소프트웨어 개발 및 공급업,2010-06-18,코스닥,089850.KQ
유안타제12호스팩,446150,금융 지원 서비스업,2023-03-17,코스닥,446150.KQ
유일로보틱스,388720,특수 목적용 기계 제조업,2022-03-18,코스닥,388720.KQ
유진기업,023410,"시멘트, 석회, 플라스터 및 그 제품 제조업",1994-10-07,코스닥,023410.KQ
유진스팩10호,468760,금융 지원 서비스업,2024-02-29,코스닥,468760.KQ
유진테크,084370,특수 목적용 기계 제조업,2006-01-17,코스닥,084370.KQ
율호,072770,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2007-07-25,코스닥,072770.KQ
이글루,067920,기타 정보 서비스업,2010-08-04,코스닥,067920.KQ
이노와이어리스,073490,통신 및 방송 장비 제조업,2005-02-04,코스닥,073490.KQ
이녹스첨단소재,272290,전자부품 제조업,2017-07-10,코스닥,272290.KQ
이씨에스,067010,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2007-12-18,코스닥,067010.KQ
이엠앤아이,083470,기초 화학물질 제조업,2008-09-18,코스닥,083470.KQ
이화공영,001840,건물 건설업,1994-11-23,코스닥,001840.KQ
인콘,083640,상품 종합 도매업,2005-12-27,코스닥,083640.KQ
인텍플러스,064290,특수 목적용 기계 제조업,2011-01-05,코스닥,064290.KQ
인화정공,101930,선박 및 보트 건조업,2010-10-22,코스닥,101930.KQ
자람테크놀로지,389020,반도체 제조업,2023-03-07,코스닥,389020.KQ
장원테크,174880,통신 및 방송 장비 제조업,2016-07-15,코스닥,174880.KQ
전진바이오팜,110020,기타 화학제품 제조업,2018-12-14,코스닥,110020.KQ
제닉,123330,기타 화학제품 제조업,2011-08-03,코스닥,123330.KQ
제룡산업,147830,"구조용 금속제품, 탱크 및 증기발생기 제조업",2012-02-13,코스닥,147830.KQ
제룡전기,033100,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",1997-08-18,코스닥,033100.KQ
제이에스링크,127120,자연과학 및 공학 연구개발업,2011-12-26,코스닥,127120.KQ
젠큐릭스,229000,의료용품 및 기타 의약 관련제품 제조업,2020-06-25,코스닥,229000.KQ
조광ILI,044060,일반 목적용 기계 제조업,2001-01-18,코스닥,044060.KQ
청담글로벌,362320,생활용품 도매업,2022-06-03,코스닥,362320.KQ
카스,016920,기계장비 및 관련 물품 도매업,1990-01-04,코스닥,016920.KQ
컨텍,451760,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2023-11-09,코스닥,451760.KQ
케스피온,079190,통신 및 방송 장비 제조업,2005-11-29,코스닥,079190.KQ
케이쓰리아이,431190,소프트웨어 개발 및 공급업,2024-08-20,코스닥,431190.KQ
케이엔더블유,105330,자동차 신품 부품 제조업,2009-09-29,코스닥,105330.KQ
케이엔알시스템,199430,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2024-03-07,코스닥,199430.KQ
케이엔에스,432470,특수 목적용 기계 제조업,2023-12-06,코스닥,432470.KQ
케이이엠텍,106080,전자부품 제조업,2010-02-09,코스닥,106080.KQ
코나아이,052400,소프트웨어 개발 및 공급업,2001-10-18,코스닥,052400.KQ
